codigo_ocorrencia1,codigo_ocorrencia2,category_group,aeronave_fatalidades_total
47153,47153,System or Component Failure,0
81621,81621,Loss of Control,0
78750,78750,Loss of Control,0
78652,78652,Runway and Landing Issues,0
51741,51741,System or Component Failure,0
48658,48658,Engine-Related Issues,2
78904,78904,Runway and Landing Issues,0
79840,79840,Loss of Control,6
65421,65421,Runway and Landing Issues,1
66440,66440,Animal Collisions,0
81306,81306,Others/Miscellaneous,0
80911,80911,Navigation and Air Traffic Issues,0
80820,80820,Loss of Control,1
60679,60679,Others/Miscellaneous,0
78988,78988,System or Component Failure,0
81023,81023,Loss of Control,0
79304,79304,System or Component Failure,0
79391,79391,Animal Collisions,0
81328,81328,Navigation and Air Traffic Issues,0
80988,80988,Runway and Landing Issues,0
52265,52265,Loss of Control,7
80837,80837,Loss of Control,0
81014,81014,Unknonw,0
48795,48795,Runway and Landing Issues,0
50339,50339,Engine-Related Issues,0
80657,80657,Navigation and Air Traffic Issues,1
47210,47210,Others/Miscellaneous,0
66746,66746,System or Component Failure,0
81365,81365,Runway and Landing Issues,1
79456,79456,Others/Miscellaneous,0
80154,80154,Unknonw,0
79339,79339,Navigation and Air Traffic Issues,0
80080,80080,Engine-Related Issues,0
60793,60793,Engine-Related Issues,0
53121,53121,System or Component Failure,0
81205,81205,Navigation and Air Traffic Issues,1
80796,80796,System or Component Failure,0
79574,79574,Runway and Landing Issues,0
78472,78472,Runway and Landing Issues,0
78651,78651,Engine-Related Issues,0
78820,78820,Weather-Related Issues,0
81146,81146,Fuel-Related Issues,0
79323,79323,Loss of Control,0
80477,80477,System or Component Failure,0
81281,81281,Engine-Related Issues,0
80793,80793,System or Component Failure,0
77447,77447,Loss of Control,1
77789,77789,Runway and Landing Issues,0
80680,80680,System or Component Failure,0
80116,80116,Runway and Landing Issues,0
81723,81723,Runway and Landing Issues,0
77649,77649,Navigation and Air Traffic Issues,0
81684,81684,Others/Miscellaneous,0
80435,80435,System or Component Failure,0
77680,77680,Navigation and Air Traffic Issues,0
79262,79262,Others/Miscellaneous,0
78818,78818,Loss of Control,1
79447,79447,Engine-Related Issues,0
78293,78293,Engine-Related Issues,0
60740,60740,Fire and Smoke Incidents,0
79001,79001,Runway and Landing Issues,0
50922,50922,Engine-Related Issues,0
60625,60625,Loss of Control,0
80543,80543,Navigation and Air Traffic Issues,0
77213,77213,Runway and Landing Issues,0
81218,81218,System or Component Failure,0
79482,79482,System or Component Failure,0
79325,79325,Engine-Related Issues,1
77839,77839,System or Component Failure,0
51163,51163,Runway and Landing Issues,0
81232,81232,Animal Collisions,0
51151,51151,System or Component Failure,0
80144,80144,System or Component Failure,0
61008,61008,System or Component Failure,0
78055,78055,System or Component Failure,0
53492,53492,Others/Miscellaneous,0
79472,79472,Runway and Landing Issues,0
51310,51310,System or Component Failure,0
80763,80763,Runway and Landing Issues,0
78461,78461,System or Component Failure,0
79716,79716,Navigation and Air Traffic Issues,0
50532,50532,Others/Miscellaneous,0
52936,52936,Weather-Related Issues,0
77808,77808,Runway and Landing Issues,0
77614,77614,Loss of Control,0
80878,80878,Runway and Landing Issues,0
52345,52345,Navigation and Air Traffic Issues,0
78605,78605,Runway and Landing Issues,0
81250,81250,System or Component Failure,0
48113,48113,Loss of Control,0
78183,78183,Navigation and Air Traffic Issues,1
52843,52843,System or Component Failure,0
78989,78989,System or Component Failure,0
79626,79626,System or Component Failure,0
51018,51018,Navigation and Air Traffic Issues,0
52874,52874,Loss of Control,0
78836,78836,Unknonw,0
80128,80128,System or Component Failure,0
79168,79168,System or Component Failure,0
53082,53082,Animal Collisions,0
52271,52271,Runway and Landing Issues,0
47087,47087,Animal Collisions,0
48096,48096,Loss of Control,0
51768,51768,Weather-Related Issues,0
